slug,company,company_name_full,report_year,source_md,status,error_stage,error_message,rebuild_index,top_k_requested,w_bm25,w_emb,n_queries,n_index_chunks,n_retrieved_chunks,index_elapsed_s,retrieval_elapsed_s,extraction_elapsed_sum_s,doc_total_elapsed_s,n_llm_calls_ok_x,n_llm_calls_error,coverage_ratio,topk_capped,retrieved_all_chunks,llm_total_elapsed_sum_s,total_prompt_tokens_api_sum,total_completion_tokens_api_sum,total_tokens_api_sum,mean_chunk_tokens_est,n_llm_calls_ok_y,n_rows_normalized_doc,mean_rows_per_retrieved_chunk,max_rows_single_chunk,mean_hybrid_score,mean_bm25_score_raw,mean_emb_score_raw,n_nonzero_chunks,share_nonzero_retrieved_chunks
hochtief_ag,HOCHTIEF AG,HOCHTIEF AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\hochtief_ag\2023\focused\hochtief_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,43,12,0.070622,0.541831,88.84158,92.190067,12,0,0.27906976744186046,True,False,88.84158,19796,4276,24072,1220.1666666666667,12,105,8.75,20,0.7979888667662939,14.335845311482748,0.6075089946389198,6,0.5
repsol_sa,REPSOL SA.,REPSOL SA.,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\repsol_sa\2024\focused\repsol_sa_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,12,12,0.169656,0.422888,83.557902,86.732797,12,0,1.0,False,True,83.557902,19423,3896,23319,1197.5,12,83,6.916666666666667,21,0.588186596830686,6.523676425218582,0.5435000285506248,7,0.5833333333333334
norma_group_se,NORMA Group SE,NORMA Group SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\norma_group_se\2023\focused\norma_group_se_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,83,12,0.274683,0.889285,80.660793,84.588364,12,0,0.14457831325301204,True,False,80.660792,20713,3370,24083,1294.6666666666667,12,46,3.8333333333333335,8,0.768317699432373,20.470637718836468,0.5551245709260305,9,0.75
eni_s_p_a,ENI S.P.A.,ENI S.P.A.,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\eni_s_p_a\2024\focused\eni_s_p_a_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,17,12,0.170376,0.447324,78.414394,81.627854,12,0,0.7058823529411765,True,False,78.414393,17473,3356,20829,1029.4166666666667,12,63,5.25,17,0.6406402923166752,8.42604092756907,0.5514902248978615,6,0.5
omv_aktiengesellschaft,OMV AKTIENGESELLSCHAFT,OMV AKTIENGESELLSCHAFT,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\omv_aktiengesellschaft\2024\focused\omv_aktiengesellschaft_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,8,8,0.164051,0.493059,79.105609,81.496211,8,0,1.0,False,True,79.10561,13343,4444,17787,1236.5,8,84,10.5,18,0.49261172860860825,5.491300344467163,0.6105243340134621,7,0.875
bilfinger_se,Bilfinger SE,Bilfinger SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\bilfinger_se\2023\focused\bilfinger_se_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,45,12,0.264571,0.985482,73.69977,77.929541,12,0,0.26666666666666666,True,False,73.699769,19110,2651,21761,1169.3333333333333,12,37,3.0833333333333335,7,0.7306245565414429,14.803063948949179,0.575283370912075,6,0.5
fuchs_se,FUCHS SE,FUCHS SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\fuchs_se\2023\focused\fuchs_se_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,26,12,0.18189,0.513053,71.467683,74.912377,12,0,0.46153846153846156,True,False,71.467682,19026,2151,21177,1160.4166666666667,12,27,2.25,10,0.6777796198924383,12.37802000840505,0.5476419478654861,5,0.4166666666666667
sartorius_ag_st,Sartorius AG St,Sartorius AG St,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\sartorius_ag_st\2023\focused\sartorius_ag_st_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,17,12,0.181151,0.468827,67.693944,71.086301,12,0,0.7058823529411765,True,False,67.693945,19126,1822,20948,1168.5833333333333,12,34,2.8333333333333335,12,0.6264049286643664,6.786641558011373,0.5463369612892469,6,0.5
zumtobel_group_ag,Zumtobel Group AG,Zumtobel Group AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\zumtobel_group_ag\2023\focused\zumtobel_group_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,24,12,0.174043,0.486189,66.529669,69.976545,12,0,0.5,True,False,66.52967,19571,2563,22134,1203.3333333333333,12,26,2.1666666666666665,10,0.6507099394996961,10.483727792898813,0.5651926050583521,4,0.3333333333333333
allianz_se,Allianz SE,Allianz SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\allianz_se\2023\focused\allianz_se_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,48,12,0.127113,0.60114,65.071741,68.79644,12,0,0.25,True,False,65.071741,18873,2120,20993,1160.75,12,25,2.0833333333333335,7,0.6731623709201813,10.743347644805908,0.527058057487011,4,0.3333333333333333
rheinmetall_ag,Rheinmetall AG,Rheinmetall AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\rheinmetall_ag\2023\focused\rheinmetall_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,37,12,0.183149,0.714565,64.619034,68.296755,12,0,0.32432432432432434,True,False,64.619033,19859,2165,22024,1228.5,12,44,3.6666666666666665,11,0.6485739151636759,8.946173429489136,0.5369795337319374,6,0.5
k_s_aktiengesellschaft,K+S Aktiengesellschaft,K+S Aktiengesellschaft,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\k_s_aktiengesellschaft\2023\focused\k_s_aktiengesellschaft_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,43,12,0.183419,0.547962,64.502732,68.012716,12,0,0.27906976744186046,True,False,64.502731,21813,2535,24348,1386.75,12,20,1.6666666666666667,6,0.7384723921616873,14.209383845329285,0.592361181974411,5,0.4166666666666667
heidelberg_materials_ag,Heidelberg Materials AG,Heidelberg Materials AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\heidelberg_materials_ag\2023\focused\heidelberg_materials_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,53,12,0.18339,0.912358,63.552292,67.485095,12,0,0.22641509433962265,True,False,63.552291,21051,1648,22699,1325.6666666666667,12,14,1.1666666666666667,3,0.5948386540015539,13.663914680480957,0.5517192929983139,6,0.5
commerzbank_ag,Commerzbank AG,Commerzbank AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\commerzbank_ag\2023\focused\commerzbank_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,55,12,0.201135,1.088565,61.418646,65.794757,12,0,0.21818181818181817,True,False,61.418647,19952,2036,21988,1239.8333333333333,12,21,1.75,14,0.6128357176979383,11.220953265825907,0.49403705447912216,2,0.16666666666666666
flughafen_wien_ag,Flughafen Wien AG,Flughafen Wien AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\flughafen_wien_ag\2023\focused\flughafen_wien_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,24,12,0.216735,0.482979,60.63646,64.095143,12,0,0.5,True,False,60.63646,20364,1518,21882,1274.4166666666667,12,19,1.5833333333333333,9,0.5077305510640144,10.687983910242716,0.44629158079624176,3,0.25
daimler_truck_holding_ag,Daimler Truck Holding AG,Daimler Truck Holding AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\daimler_truck_holding_ag\2023\focused\daimler_truck_holding_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,43,12,0.146043,0.590331,59.686383,63.202824,12,0,0.27906976744186046,True,False,59.686383,18946,1656,20602,1145.25,12,20,1.6666666666666667,4,0.6747436200579008,13.061249812444052,0.5726537232597669,5,0.4166666666666667
grenke_ag,grenke AG,grenke AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\grenke_ag\2023\focused\grenke_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,36,12,0.177732,0.465988,58.48422,61.957212,12,0,0.3333333333333333,True,False,58.484221,20362,1626,21988,1264.8333333333333,12,24,2.0,6,0.7159089545408884,14.812841018040976,0.5474986682335535,6,0.5
evonik_industries_ag,Evonik Industries AG,Evonik Industries AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\evonik_industries_ag\2023\focused\evonik_industries_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,43,12,0.152468,0.609263,57.102027,60.737808,12,0,0.27906976744186046,True,False,57.102027,19137,1476,20613,1169.6666666666667,12,19,1.5833333333333333,6,0.6071755910913149,14.187154094378153,0.5744097530841827,4,0.3333333333333333
prosiebensat_1_media_se,ProSiebenSat.1 Media SE,ProSiebenSat.1 Media SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\prosiebensat_1_media_se\2023\focused\prosiebensat_1_media_se_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,24,12,0.170074,0.455216,57.353961,60.723355,12,0,0.5,True,False,57.353961,20989,1658,22647,1315.4166666666667,12,14,1.1666666666666667,14,0.5654848913351694,9.224306563536325,0.49452266097068787,1,0.08333333333333333
hamburger_hafen_und_logistik_ag,Hamburger Hafen und Logistik AG,Hamburger Hafen und Logistik AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\hamburger_hafen_und_logistik_ag\2023\focused\hamburger_hafen_und_logistik_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,45,12,0.240411,0.592181,55.865422,59.587768,12,0,0.26666666666666666,True,False,55.865422,20062,1518,21580,1241.5,12,22,1.8333333333333333,6,0.6577567954858144,11.279411872227987,0.5597591971357664,5,0.4166666666666667
krones_ag,Krones AG,Krones AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\krones_ag\2023\focused\krones_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,33,12,0.221165,0.53439,56.126217,59.58758,12,0,0.36363636363636365,True,False,56.126218,19700,1423,21123,1205.5,12,17,1.4166666666666667,4,0.6387459387381872,13.682491779327393,0.5786930496493975,7,0.5833333333333334
lanxess_ag,LANXESS AG,LANXESS AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\lanxess_ag\2023\focused\lanxess_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,24,12,0.192422,0.568776,55.713031,59.372907,12,0,0.5,True,False,55.713032,19310,2003,21313,1181.75,12,22,1.8333333333333333,10,0.6077299738923708,8.703261812527975,0.5656428908308347,4,0.3333333333333333
immofinanz_ag,Immofinanz AG,Immofinanz AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\immofinanz_ag\2023\focused\immofinanz_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,47,12,0.195327,0.575901,55.559271,59.135175,12,0,0.2553191489361702,True,False,55.559272,20116,1236,21352,1245.5833333333333,12,11,0.9166666666666666,3,0.6138966307044029,16.217775344848633,0.540014959871769,5,0.4166666666666667
daimler_ag,Daimler AG,Daimler AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\daimler_ag\2023\focused\daimler_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,30,12,0.029981,0.337889,55.792631,58.86421,12,0,0.4,True,False,55.792631,19939,1436,21375,1229.9166666666667,12,14,1.1666666666666667,5,0.6272661164402962,11.88597305615743,0.556830478211244,4,0.3333333333333333
friedrich_vorwerk_group_se,Friedrich Vorwerk Group SE,Friedrich Vorwerk Group SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\friedrich_vorwerk_group_se\2023\focused\friedrich_vorwerk_group_se_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,12,12,0.166066,0.494844,55.085061,58.533731,12,0,1.0,False,True,55.08506,20315,1095,21410,1263.9166666666667,12,20,1.6666666666666667,5,0.41642391743759316,5.514637768268585,0.43915966401497525,4,0.3333333333333333
grammer_aktiengesellschaft,Grammer Aktiengesellschaft,Grammer Aktiengesellschaft,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\grammer_aktiengesellschaft\2023\focused\grammer_aktiengesellschaft_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,18,12,0.166396,0.423333,55.105331,58.47806,12,0,0.6666666666666666,True,False,55.105331,19401,2181,21582,1188.5833333333333,12,31,2.5833333333333335,9,0.6025943234562874,10.260711510976156,0.5369010890523592,5,0.4166666666666667
brenntag_se,Brenntag SE,Brenntag SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\brenntag_se\2023\focused\brenntag_se_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,29,12,0.079167,0.782773,53.558636,57.415064,12,0,0.41379310344827586,True,False,53.558638,19828,1355,21183,1222.4166666666667,12,15,1.25,12,0.5538560400406519,11.07060702641805,0.5319077024857203,4,0.3333333333333333
scout24_se,Scout24 SE,Scout24 SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\scout24_se\2023\focused\scout24_se_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,30,12,0.227436,0.506571,53.701288,57.233221,12,0,0.4,True,False,53.701288,20775,1453,22228,1307.1666666666667,12,13,1.0833333333333333,6,0.6119888400038084,9.570438464482626,0.502906488875548,4,0.3333333333333333
