slug,company,company_name_full,report_year,source_md,status,error_stage,error_message,rebuild_index,top_k_requested,w_bm25,w_emb,n_queries,n_index_chunks,n_retrieved_chunks,index_elapsed_s,retrieval_elapsed_s,extraction_elapsed_sum_s,doc_total_elapsed_s,n_llm_calls_ok_x,n_llm_calls_error,coverage_ratio,topk_capped,retrieved_all_chunks,llm_total_elapsed_sum_s,total_prompt_tokens_api_sum,total_completion_tokens_api_sum,total_tokens_api_sum,mean_chunk_tokens_est,n_llm_calls_ok_y,n_rows_normalized_doc,mean_rows_per_retrieved_chunk,max_rows_single_chunk,mean_hybrid_score,mean_bm25_score_raw,mean_emb_score_raw,n_nonzero_chunks,share_nonzero_retrieved_chunks
commerzbank_ag,Commerzbank AG,Commerzbank AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\commerzbank_ag\2023\focused\commerzbank_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,58,12,0.270134,0.605094,108.45912,112.394122,12,0,0.20689655172413793,True,False,108.459121,21225,4900,26125,1348.6666666666667,12,139,11.583333333333334,35,0.7896239111820856,14.254141370455423,0.5340325782696406,6,0.5
hochtief_ag,HOCHTIEF AG,HOCHTIEF AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\hochtief_ag\2023\focused\hochtief_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,12,12,0.205892,0.452358,95.071137,98.623774,12,0,1.0,False,True,95.071136,17655,4585,22240,1040.75,12,105,8.75,20,0.6584001857166489,5.594394902388255,0.5758427282174429,6,0.5
eni_s_p_a,ENI S.P.A.,ENI S.P.A.,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\eni_s_p_a\2024\focused\eni_s_p_a_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,11,11,0.019448,0.284395,78.559126,81.204447,11,0,1.0,False,True,78.559126,16297,3023,19320,1054.3636363636363,11,59,5.363636363636363,18,0.5844218771566044,6.684438532049006,0.5446606088768352,5,0.45454545454545453
k_s_aktiengesellschaft,K+S Aktiengesellschaft,K+S Aktiengesellschaft,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\k_s_aktiengesellschaft\2023\focused\k_s_aktiengesellschaft_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,12,12,0.071876,0.375035,77.577332,80.799964,12,0,1.0,False,True,77.577333,16539,2970,19509,948.1666666666666,12,20,1.6666666666666667,6,0.519657151773572,5.913533642888069,0.5967723230520884,4,0.3333333333333333
repsol_sa,REPSOL SA.,REPSOL SA.,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\repsol_sa\2024\focused\repsol_sa_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,9,9,0.180239,0.366215,74.664144,77.113555,9,0,1.0,False,True,74.664144,14127,3765,17892,1145.888888888889,9,66,7.333333333333333,18,0.4612398713620173,6.389698770311144,0.5442633529504141,6,0.6666666666666666
allianz_se,Allianz SE,Allianz SE,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\allianz_se\2023\focused\allianz_se_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,17,12,0.182187,0.396336,65.948017,69.512349,12,0,0.7058823529411765,True,False,65.948017,18591,2269,20860,1135.6666666666667,12,25,2.0833333333333335,7,0.6683912177880605,6.167254090309143,0.5338702773054441,4,0.3333333333333333
norma_group_se,NORMA Group SE,NORMA Group SE,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\norma_group_se\2023\focused\norma_group_se_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,12,12,0.145398,0.351576,64.865055,68.179741,12,0,1.0,False,True,64.865055,18770,2229,20999,1127.25,12,32,2.6666666666666665,8,0.6354637295007706,6.248338431119919,0.5182598208387693,6,0.5
omv_aktiengesellschaft,OMV AKTIENGESELLSCHAFT,OMV AKTIENGESELLSCHAFT,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\omv_aktiengesellschaft\2024\focused\omv_aktiengesellschaft_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,7,7,0.179684,0.350783,59.612725,61.67377,7,0,1.0,False,True,59.612724,11269,3257,14526,1162.142857142857,7,65,9.285714285714286,19,0.505793605531965,5.1143215383802145,0.6058256711278643,6,0.8571428571428571
bilfinger_se,Bilfinger SE,Bilfinger SE,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\bilfinger_se\2023\focused\bilfinger_se_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,10,10,0.137208,0.391504,56.691637,59.594151,10,0,1.0,False,True,56.691636,14583,1677,16260,1033.9,10,30,3.0,7,0.589873480796814,5.784974837303162,0.5825512021780014,5,0.5
uniqa_insurance_group_ag,UNIQA Insurance Group AG,UNIQA Insurance Group AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\uniqa_insurance_group_ag\2023\focused\uniqa_insurance_group_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,12,12,0.067893,0.368342,55.853687,59.042759,12,0,1.0,False,True,55.853687,20678,1463,22141,1293.0833333333333,12,19,1.5833333333333333,13,0.5887055372198423,5.154768268267314,0.5228733693559965,2,0.16666666666666666
s_immo_ag,S IMMO AG,S IMMO AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\s_immo_ag\2023\focused\s_immo_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,13,12,0.193274,0.403689,53.484091,56.773562,12,0,0.9230769230769231,True,False,53.484091,19955,1307,21262,1231.3333333333333,12,12,1.0,3,0.6339624586204687,6.731053322553635,0.5055649081865946,5,0.4166666666666667
talanx_aktiengesellschaft,Talanx Aktiengesellschaft,Talanx Aktiengesellschaft,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\talanx_aktiengesellschaft\2023\focused\talanx_aktiengesellschaft_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,14,12,0.162857,0.394471,53.0687,56.394885,12,0,0.8571428571428571,True,False,53.0687,20726,1444,22170,1302.6666666666667,12,16,1.3333333333333333,6,0.7280063101400932,4.362618456284205,0.4816231355071068,4,0.3333333333333333
acs_actividades_de_construcci_n_y_servicios_s_a,"ACS, Actividades de Construcción y Servicios, S.A.","ACS, Actividades de Construcción y Servicios, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\acs_actividades_de_construcci_n_y_servicios_s_a\2023\focused\acs_actividades_de_construcci_n_y_servicios_s_a_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,14,12,0.027144,0.298679,48.892545,51.768352,12,0,0.8571428571428571,True,False,48.892546,16986,4581,21567,981.3333333333334,12,117,9.75,21,0.5566039892534415,6.213566978772481,0.6410650114218394,7,0.5833333333333334
wienerberger_ag,Wienerberger AG,Wienerberger AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\wienerberger_ag\2023\focused\wienerberger_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,14,12,0.17346,0.392982,46.530753,49.973408,12,0,0.8571428571428571,True,False,46.530753,17248,1031,18279,1003.6666666666666,12,14,1.1666666666666667,5,0.7526075591643652,7.768780926863353,0.5979439144333204,6,0.5
iss_a_s,ISS A/S,ISS A/S,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\iss_a_s\2024\focused\iss_a_s_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,12,12,0.183257,0.513295,46.663451,49.95801,12,0,1.0,False,True,46.66345,19660,601,20261,1212.6666666666667,12,5,0.4166666666666667,5,0.4505408407809834,4.724193642536799,0.5030562753478686,1,0.08333333333333333
ksb_se_co_kgaa_vz,KSB SE & Co. KGaA Vz,KSB SE & Co. KGaA Vz,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\ksb_se_co_kgaa_vz\2023\focused\ksb_se_co_kgaa_vz_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,12,12,0.204478,0.388264,43.956408,47.254787,12,0,1.0,False,True,43.956408,18104,714,18818,1059.4166666666667,12,7,0.5833333333333334,5,0.32676708814688027,5.391125723719597,0.44139601786931354,2,0.16666666666666666
compagnie_de_l_odet_se,Compagnie de l'Odet SE,Compagnie de l'Odet SE,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\compagnie_de_l_odet_se\2023\focused\compagnie_de_l_odet_se_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,12,12,0.170107,0.555115,43.518745,47.16078,12,0,1.0,False,True,43.518746,19864,3058,22922,1229.3333333333333,12,36,3.0,10,0.3807448201502363,5.170093198617299,0.5014190599322319,6,0.5
